reading_no;reading_type;duration;time;user;sigma_value;units;batch;heat;lot;note_xrf;sample_measurement_id;sample_id;site_id;N;E;coord_ref;parish;patina;munsell_hue;munsell_value;hue;color;material;artefact;type;note_measurement;texture_1;texture_2;luster;sedimentary_structures;foliation;topography;homogeneity;inclusion;%-inclusion;surface;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm;sample_size;mode;Bal;12Mg;13Al;14Si;15P;16S;17Cl;19K;20Ca;23V;24Cr;25Mn;26Fe;27Co;28Ni;29Cu;30Zn;33As;34Se;37Rb;38Sr;39Y;40Zr;41Nb;42Mo;46Pd;47Ag;48Cd;50Sn;51Sb;56Ba;72Hf;73Ta;74W;75Re;79Au;80Hg;81Ti;82Pb;83Bi;90Th;92U
936;Mining;133.08;fre feb 28, 2020 - 13:38:35;User;2;%;;;;;275;275;Vilhelmina 948;7197896;578653;Sweref 99 TM;Vilhelmina;No;5Y; 8/2;Light;Opaque;Breccie quartz;Arrow point;Point;;Massive;Fine-grained;Waxy;None;Possible foliation;Fine;No;Dark mineral grains;;;15;77;7;;1155;Medium;Mining;;;0.7464 ;98.4177 ;;0.0820 ;0.2185 ;0.1155 ;0.0709 ;;;0.2754 ;;0.0049 ;;;;;;;;;;;;;;;0.0071 ;;0.0639 ;;;;;;;0.0247 ;;;;
937;Mining;131.27;fre feb 28, 2020 - 13:44:19;User;2;%;;;;;277;277;Vilhelmina 181;7195514;581852;Sweref 99 TM;Vilhelmina;No;N1; ;Dark;Black;Quartzite;Arrow point;Point;;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;;;18;90;6;;1620;Medium;Mining;54.2548 ;0.4265 ;0.8603 ;43.7654 ;0.0139 ;0.0425 ;0.0637 ;0.1763 ;0.0197 ;;0.0058 ;;0.1065 ;;;;;;;0.0005 ;0.0001 ;0.0007 ;0.0371 ;;;;;;0.0007 ;;0.0040 ;;;;;;;0.2207 ;0.0005 ;;0.0003 ;
938;Mining;132.63;fre feb 28, 2020 - 13:47:32;User;2;%;;;;;278;278;Vilhelmina 118;7204670;519129;Sweref 99 TM;Vilhelmina;No;5Y; 4/2;Light;Gray streaked with black;Quartzite;Spear point preform;Preform;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;5;;31;104;14;42;3224;Large;Mining;56.7692 ;;0.5456 ;42.0186 ;0.0244 ;0.0734 ;0.1707 ;0.1333 ;0.0279 ;0.0006 ;0.0046 ;;0.0544 ;;;;;;;0.0004 ;0.0001 ;0.0004 ;0.0178 ;;;;;;0.0004 ;;0.0150 ;;;;;;;0.0712 ;;;0.0001 ;
939;Mining;131.98;fre feb 28, 2020 - 13:51:41;User;2;%;;;;;276;276;Vilhelmina 552;7194832;583937;Sweref 99 TM;Vilhelmina;No;N2; ;Dark;Gray;Quartzite;Point preform;Preform;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;;;24;113;13;32;2712;Large;Mining;56.8151 ;;0.2522 ;42.3607 ;0.0225 ;0.0489 ;0.1457 ;0.1003 ;0.0183 ;0.0006 ;0.0017 ;;0.0550 ;;;;;;;0.0001 ;;;0.0051 ;;;;;;0.0006 ;;0.0137 ;;;;;;;0.0909 ;;;;
941;Mining;133.51;fre feb 28, 2020 - 14:00:43;User;2;%;;;;;279;279;Vilhelmina 816;7199555;577326;Sweref 99 TM;Vilhelmina;No;5Y; 9/1;Light;Opaque;Quartzite;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;;;37;73;;;2701;Large;Mining;59.9377 ;;0.4788 ;38.6839 ;0.0164 ;0.1529 ;0.1926 ;0.1598 ;0.3110 ;0.0006 ;0.0073 ;;0.0394 ;;;;;;;;;;0.0017 ;;;;;;0.0004 ;;0.0049 ;;;;;;;0.0126 ;;;;
942;Mining;133.60;fre feb 28, 2020 - 14:03:54;User;2;%;;;;;280;280;Vilhelmina 117;7204780;518625;Sweref 99 TM;Vilhelmina;No;N2; ;Dark;Gray streaked with black;Quartzite;Point preform;Preform;;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;Dark mineral inclusion;50;;31;62;9;19;1922;Medium;Mining;;1.5525 ;2.2224 ;93.8998 ;0.1669 ;0.4320 ;0.6475 ;0.4418 ;0.2104 ;;0.0245 ;0.1635 ;0.0095 ;0.0046 ;;;;;;;;;;;;;;;0.0036 ;;0.0976 ;;;;;;;0.2014 ;;;;
943;Mining;133.43;fre feb 28, 2020 - 14:07:14;User;2;%;;;;;281;281;Vilhelmina 356;7172579;571869;Sweref 99 TM;Vilhelmina;No;5Y; 4/2;Light;Gray streaked with black;Quartzite;Point preform;Preform;;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;10;;25;90;11;27;2250;Large;Mining;56.8468 ;0.2740 ;0.5144 ;41.8131 ;0.0286 ;0.1381 ;0.0750 ;0.1089 ;0.0656 ;;0.0034 ;;0.0540 ;;;;;;;0.0002 ;0.0002 ;;0.0144 ;;;;;;;;0.0132 ;;;;;;;0.0500 ;;;0.0002 ;
944;Mining;133.23;fre feb 28, 2020 - 14:10:50;User;2;%;;;;;282;282;Vilhelmina 263;7173526;570492;Sweref 99 TM;Vilhelmina;No;N2; ;Dark;Black;Quartzite;Point preform;Preform;;Granular;Medium-grained;Waxy;None;None;Smooth;Yes;;;;34;54;12;24;1836;Medium;Mining;55.2394 ;;0.3825 ;44.0052 ;0.0133 ;0.0544 ;0.0842 ;0.0615 ;0.0391 ;;0.0034 ;;0.0579 ;;;;;;;;0.0010 ;;0.0042 ;;;;;;0.0004 ;;0.0118 ;;;;;;;0.0416 ;;;0.0001 ;
945;Mining;132.20;fre feb 28, 2020 - 14:24:02;User;2;%;;;;;283;283;Vilhelmina 252;7169461;564823;Sweref 99 TM;Vilhelmina;No;2.5Y; 8/1;Dark;Gray streaked with black;Quartzite;Point preform;Preform;;Granular;Fine-grained;Dull;None;None;Smooth;No;Dark mineral inclusion and white discoloration;50;;24;26;9;9;624;Medium;Mining;57.1379 ;0.3668 ;2.6176 ;39.2041 ;0.0274 ;0.2152 ;0.1101 ;0.1012 ;0.0973 ;0.0004 ;0.0033 ;;0.0608 ;;;;0.0059 ;;;;0.0050 ;;0.0065 ;;;;;;;;0.0113 ;;;;;;;0.0290 ;;;0.0002 ;
946;Mining;133.26;fre feb 28, 2020 - 14:27:30;User;2;%;;;;;284;284;Vilhelmina 252;7169461;564823;Sweref 99 TM;Vilhelmina;No;5Y; 6/3;Light;Opaque;Quartzite;Point;Point;;Granular;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;;;18;19;6;6;342;Small;Mining;0.0245 ;;1.6376 ;94.3456 ;0.2109 ;0.8124 ;1.2340 ;0.7029 ;0.4169 ;;0.0174 ;0.1879 ;0.0152 ;0.0038 ;;;;;;;;;;;;;;;;;0.2066 ;;;;;;;0.1844 ;;;;
947;Mining;131.15;fre feb 28, 2020 - 14:30:42;User;2;%;;;;;285;285;;7285986;509493;Sweref 99 TM;Tärna;Yes;2.5Y; 9/1;Light;Opaque;Breccie quartz;Retouched flake;Flake;;Granular;Fine-grained;Waxy;None;Possible foliation;Conchoidal;No;Dark mineral grains;;;50;78;13;49;3900;Large;Mining;55.1518 ;0.3038 ;0.5695 ;43.6756 ;0.0121 ;0.0558 ;;0.0800 ;0.0670 ;;0.0008 ;;0.0407 ;;;;;;;;0.0002 ;;0.0021 ;;;;;;0.0004 ;;0.0138 ;;;;;;;0.0263 ;;;;
948;Mining;134.04;fre feb 28, 2020 - 14:33:57;User;2;%;;;;;286;286;Tärna 34;7316753;502381;Sweref 99 TM;Tärna;Yes;5Y; 7/2;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;42;54;13;31;2268;Large;Mining;56.8579 ;0.3084 ;1.7308 ;40.5421 ;0.0192 ;0.0124 ;;0.2369 ;0.1174 ;;;;0.0989 ;;;;;;;;0.0007 ;0.0001 ;0.0029 ;;;;;;0.0009 ;;0.0131 ;;;;;;;0.0583 ;;;;
949;Mining;133.87;fre feb 28, 2020 - 14:37:41;User;2;%;;;;;287;287;;7285986;509493;Sweref 99 TM;Tärna;Yes;2.5Y; 9/1;Light;Opaque;Breccie quartz;Scraper;Scraper;;Granular;Fine-grained;Waxy;None;Possible foliation;Conchoidal;No;Dark mineral grains;;;45;93;18;70;4185;Large;Mining;0.0365 ;1.6350 ;0.2977 ;97.2822 ;;0.1031 ;0.0767 ;0.1158 ;0.0369 ;;0.0101 ;0.2398 ;;0.0080 ;;;;;;;;;;;;;;;;;0.1336 ;;;;;;;0.0247 ;;;;
950;Mining;131.46;fre feb 28, 2020 - 14:40:53;User;2;%;;;;;288;288;Tärna 594;7327983;491179;Sweref 99 TM;Tärna;Yes;5Y; 8/2;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Waxy;None;Possible foliation;Conchoidal;No;Dark mineral grains;;;39;77;22;57;3003;Large;Mining;0.0247 ;2.3436 ;2.5497 ;93.9328 ;0.0680 ;0.0994 ;0.2620 ;0.2525 ;0.0624 ;;0.0190 ;0.1757 ;;0.0041 ;;;;;;;;;;;;;;;0.0063 ;;0.1514 ;;;;;;;0.0481 ;;;;
951;Mining;134.68;fre feb 28, 2020 - 14:44:24;User;2;%;;;;;289;289;Tärna 14;7325955;493928;Sweref 99 TM;Tärna;No;5Y; 8/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;;;29;68;7;17;1972;Medium;Mining;57.4466 ;;0.1548 ;42.2883 ;;;0.0338 ;0.0257 ;0.0148 ;;;;0.0105 ;;;;;;;;;;0.0017 ;;;;;;0.0006 ;;0.0104 ;;;;;;;0.0081 ;;;;
952;Mining;130.57;fre feb 28, 2020 - 14:48:22;User;2;%;;;;;290;290;Tärna 34;7316753;502381;Sweref 99 TM;Tärna;Yes;5Y; 7/6;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;Iron oxide;28;43;7;10;1204;Medium;Mining;55.9119 ;0.4587 ;0.6236 ;42.5947 ;0.0126 ;0.0448 ;0.1643 ;0.0749 ;0.0589 ;0.0003 ;;;0.0280 ;;;;;;;;0.0004 ;;0.0013 ;;;;;;;;0.0066 ;;;;;;;0.0189 ;;;;
953;Mining;131.86;fre feb 28, 2020 - 14:51:28;User;2;%;;;;;291;291;Tärna 34;7316753;502381;Sweref 99 TM;Tärna;Yes;5Y; 9/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;36;27;9;11;972;Medium;Mining;55.2993 ;0.4261 ;0.9647 ;42.8886 ;0.0107 ;0.0603 ;0.0592 ;0.1159 ;0.0888 ;;0.0042 ;;0.0433 ;;;;;;;;0.0008 ;;0.0026 ;;;;;;;;0.0097 ;;;;;;;0.0259 ;;;;
954;Mining;131.90;fre feb 28, 2020 - 14:54:39;User;2;%;;;;;292;292;;7285986;509493;Sweref 99 TM;Tärna;No;5Y; 9/1;Light;Opaque;Breccie quartz;Scraper;Scraper;;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;33;37;12;17;1221;Medium;Mining;0.0294 ;1.3077 ;1.7617 ;94.8440 ;0.1101 ;0.2097 ;0.5761 ;0.3048 ;0.4430 ;;0.0075 ;0.2037 ;0.0039 ;0.0039 ;;;;;;;;;;;;;;;0.0041 ;;0.1669 ;;;;;;;0.0219 ;;;;
955;Mining;131.13;fre feb 28, 2020 - 14:57:43;User;2;%;;;;;293;293;Tärna 39;7315331;500907;Sweref 99 TM;Tärna;Yes;5Y; 8/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;38;65;14;31;2470;Large;Mining;56.5557 ;;0.8850 ;42.1777 ;0.0291 ;0.0320 ;0.0509 ;0.1762 ;0.0310 ;;;;0.0371 ;;;;;;;0.0001 ;;;0.0015 ;;;;;;0.0007 ;;0.0087 ;;;;;;;0.0143 ;;;;
956;Mining;131.09;fre feb 28, 2020 - 15:00:46;User;2;%;;;;;294;294;;7285986;509493;Sweref 99 TM;Tärna;No;5Y; 8/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Conchoidal;Yes;;;;31;61;14;27;1891;Medium;Mining;0.0240 ;;2.7447 ;95.1577 ;0.0920 ;0.1622 ;0.3557 ;0.7289 ;0.1554 ;;0.0186 ;0.1895 ;;0.0038 ;;;;;;;;;;;;;;;0.0055 ;;0.2331 ;;;;;;;0.1288 ;;;;
957;Mining;131.95;fre feb 28, 2020 - 15:04:13;User;2;%;;;;;295;295;Tärna 549;7324575;493441;Sweref 99 TM;Tärna;Yes;5Y; 9/1;Light;Opaque;Breccie quartz;Arrow point preform;Preform;;Granular;Fine-grained;Waxy;None;Possible foliation;Conchoidal;No;Dark mineral grains;;;25;42;6;9;1050;Medium;Mining;59.6947 ;;0.5041 ;39.2396 ;;0.0489 ;0.0306 ;0.0691 ;0.3386 ;;0.0034 ;;0.0387 ;;;;;;;;;;0.0020 ;;;;;;;;0.0109 ;;;;;;;0.0195 ;;;;
958;Mining;134.14;fre feb 28, 2020 - 15:08:20;User;2;%;;;;;296;296;Tärna 549;7324575;493441;Sweref 99 TM;Tärna;No;5Y; 9/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Waxy;Possible bedding;None;Conchoidal;No;Bands of dark mineral;;;35;44;10;14;1540;Medium;Mining;0.0267 ;;2.9398 ;95.1199 ;0.1018 ;0.1130 ;0.3285 ;0.6558 ;0.1394 ;;;0.2177 ;0.0108 ;0.0011 ;;;;;;;;;;;;;;;0.0060 ;;0.2476 ;;;;;;;0.0917 ;;;;
959;Mining;133.21;fre feb 28, 2020 - 15:11:31;User;2;%;;;;;297;297;Tärna 549;7324575;493441;Sweref 99 TM;Tärna;No;5Y; 9/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;19;31;12;3;589;Small;Mining;55.4035 ;;0.5450 ;43.7443 ;0.0097 ;0.0532 ;0.0378 ;0.1451 ;0.0169 ;;;;0.0234 ;;;;;;;0.0003 ;0.0017 ;;0.0019 ;;;;;;0.0007 ;;0.0105 ;;;;;;;0.0060 ;;;;
960;Mining;132.80;fre feb 28, 2020 - 15:14:38;User;2;%;;;;;298;298;Tärna 610;7315998;501779;Sweref 99 TM;Tärna;Yes;7.5Y; 9/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral grains;;;62;98;24;178;6076;Large;Mining;57.2274 ;0.2513 ;0.7340 ;41.4902 ;0.0142 ;0.0482 ;0.0116 ;0.1216 ;0.0314 ;;0.0018 ;;0.0421 ;;;;;;;;;;0.0007 ;;;;;;0.0008 ;;0.0164 ;;;;;;;0.0083 ;;;;
961;Mining;131.63;fre feb 28, 2020 - 15:17:43;User;2;%;;;;;299;299;Tärna 594;7327983;491179;Sweref 99 TM;Tärna;Yes;5Y; 9/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral grains;;;38;59;12;27;2242;Large;Mining;62.0155 ;;1.4010 ;35.8450 ;0.0131 ;0.0387 ;;0.3240 ;0.0881 ;;0.0034 ;;0.1937 ;;;;;;;0.0001 ;0.0005 ;;0.0037 ;;;;;;;;0.0180 ;;;;;;;0.0554 ;;;;
962;Mining;132.34;fre feb 28, 2020 - 15:20:59;User;2;%;;;;;300;300;Tärna 37;7315883;501589;Sweref 99 TM;Tärna;No;5Y; 9/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;29;44;10;13;1276;Medium;Mining;54.4055 ;0.7090 ;0.7568 ;43.7303 ;0.0200 ;0.0550 ;0.0581 ;0.1508 ;0.0565 ;;;;0.0340 ;;;;;;;0.0003 ;;;0.0020 ;;;;;;;;0.0100 ;;;;;;;0.0118 ;;;;
963;Mining;132.10;fre feb 28, 2020 - 15:24:20;User;2;%;;;;;301;301;Tärna 549;7324575;493441;Sweref 99 TM;Tärna;No;5Y; 9/1;Translucent;Translucent;Breccie quartz;Arrow point;Point;;Massive;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains and bands of quartz;;;23;25;6;4;575;Small;Mining;54.1613 ;0.4321 ;0.2106 ;45.0272 ;;0.0249 ;0.0900 ;0.0331 ;0.0139 ;0.0015 ;;;;;;;;;;;;;;;;;;;;;0.0054 ;;;;;;;;;;;
964;Mining;133.93;fre feb 28, 2020 - 15:29:49;User;2;%;;;;;302;302;Tärna 593;7328100;491305;Sweref 99 TM;Tärna;Yes;5Y; 9/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Massive;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;;;27;58;;;1566;Medium;Mining;54.9997 ;0.3336 ;0.5036 ;43.7116 ;0.0145 ;0.0538 ;0.1976 ;0.0871 ;0.0335 ;0.0004 ;0.0013 ;;0.0245 ;;;;;;;0.0001 ;;;0.0023 ;;;;;;;;0.0130 ;;;;;;;0.0234 ;;;;
965;Mining;133.46;fre feb 28, 2020 - 15:34:33;User;2;%;;;;;303;303;;7285986;509493;Sweref 99 TM;Tärna;No;5Y; 9/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Massive;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;;;23;57;11;11;1311;Medium;Mining;57.4843 ;;0.3921 ;41.7021 ;0.0194 ;0.0442 ;0.1410 ;0.0767 ;0.0167 ;;;;0.0334 ;;;;;;;;;;0.0017 ;;;;;;0.0006 ;;0.0156 ;;;;;;;0.0045 ;;;;
966;Mining;134.19;fre feb 28, 2020 - 15:37:56;User;2;%;;;;;304;304;Tärna 549;7324575;493441;Sweref 99 TM;Tärna;No;5Y; 6/1;Light;Opaque;Breccie quartz;Arrow point;Point;;Granular;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;;;16;37;6;5;592;Small;Mining;53.8148 ;;0.4385 ;45.5401 ;0.0095 ;0.0264 ;0.0526 ;0.0562 ;0.0135 ;0.0003 ;0.0033 ;;0.0219 ;;;;;;;0.0001 ;0.0006 ;;0.0036 ;;;;;;0.0007 ;;0.0067 ;;;;;;;0.0114 ;;;;
967;Mining;132.19;fre feb 28, 2020 - 15:41:27;User;2;%;;;;;305;305;Tärna 565;7327215;481201;Sweref 99 TM;Tärna;No;2.5GY; 9/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Massive;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;52;75;28;90;3900;Large;Mining;53.5907 ;;0.2320 ;45.7141 ;0.0125 ;0.0696 ;0.0925 ;0.0576 ;0.0238 ;;0.0016 ;;0.0051 ;;;;;;;0.0002 ;;;0.0042 ;;;;;;0.0007 ;;0.0157 ;;;;;;;0.0066 ;;;;
968;Mining;132.25;fre feb 28, 2020 - 15:44:41;User;2;%;;;;;306;306;;7285986;509493;Sweref 99 TM;Tärna;Yes;5Y; 5/4;Light;Opaque;Breccie quartz;Point;Point;;Massive;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;23;115;;;2645;Large;Mining;58.1726 ;;0.4591 ;40.7297 ;0.0383 ;0.1179 ;0.2188 ;0.1629 ;0.0442 ;;;;0.0346 ;;;;;;;;0.0002 ;;0.0029 ;;;;;;0.0006 ;;0.0125 ;;;;;;;0.0058 ;;;;
969;Mining;133.26;fre feb 28, 2020 - 15:47:59;User;2;%;;;;;307;307;Tärna 656;7331934;479565;Sweref 99 TM;Tärna;Yes;N8; ;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Bands of dark mineral;;Iron oxide;66;165;36;430;10890;Large;Mining;55.2546 ;;0.2272 ;44.0251 ;0.0129 ;0.0673 ;0.1228 ;0.0869 ;0.0128 ;;0.0024 ;;0.0153 ;;;;;;;;0.0001 ;;0.0019 ;;;;;;0.0008 ;;0.0156 ;;;;;;;0.0045 ;;;;
971;Mining;132.75;fre feb 28, 2020 - 15:51:46;User;2;%;;;;;308;308;;7285986;509493;Sweref 99 TM;Tärna;No;2.5Y; 9/1;Translucent;Translucent;Breccie quartz;Point fragment;Point;;Massive;Fine-grained;Waxy;None;Possible foliation;Smooth;No;Dark mineral grains;;;31;55;;;1705;Medium;Mining;;;0.5605 ;97.6193 ;0.1280 ;0.3332 ;0.7965 ;0.2238 ;0.1312 ;;0.0126 ;0.1483 ;0.0162 ;0.0029 ;;;;;;;;;;;;;;;;;0.0965 ;;;;;;;;;;;
972;Mining;131.42;fre feb 28, 2020 - 15:55:08;User;2;%;;;;;309;309;Tärna 610;7315998;501779;Sweref 99 TM;Tärna;No;7.5Y; 5/2;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Medium-grained;Waxy;None;None;Fine;No;Dark mineral inclusion;;;23;61;7;11;1403;Medium;Mining;57.3522 ;;0.3281 ;41.8596 ;;0.0168 ;0.0915 ;0.1762 ;0.0098 ;;0.0044 ;;0.0405 ;;;;;;;0.0004 ;;;0.0021 ;;;;;;0.0005 ;;0.0133 ;;;;;;;0.0125 ;;;;
973;Mining;133.23;fre feb 28, 2020 - 15:58:13;User;2;%;;;;;310;310;Tärna 610;7315998;501779;Sweref 99 TM;Tärna;No;2.5Y; 9/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Medium-grained;Waxy;None;Possible foliation;Fine;No;Dark mineral grains;;;27;72;12;23;1944;Medium;Mining;0.0176 ;1.2666 ;2.9958 ;93.5754 ;0.1918 ;0.3129 ;0.2578 ;0.5494 ;0.2435 ;;0.0438 ;0.1348 ;0.0149 ;0.0047 ;;;;;;;;;;;;;;;0.0048 ;;0.1704 ;;;;;;;0.2159 ;;;;
974;Mining;133.07;fre feb 28, 2020 - 16:01:24;User;2;%;;;;;311;311;Tärna 549;7324575;493441;Sweref 99 TM;Tärna;No;5Y; 9/1;Translucent;Translucent;Breccie quartz;Point preform;Preform;;Massive;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;;;32;34;7;8;1088;Medium;Mining;55.5013 ;;0.2918 ;44.0883 ;0.0111 ;0.0456 ;;0.0241 ;0.0170 ;;0.0051 ;;0.0024 ;;;;;;;;0.0008 ;;0.0023 ;;;;;;;;0.0065 ;;;;;;;0.0038 ;;;;
975;Mining;130.68;fre feb 28, 2020 - 16:04:40;User;2;%;;;;;312;312;;7285986;509493;Sweref 99 TM;Tärna;No;5Y; 9/1;Translucent;Translucent;Breccie quartz;Arrow point;Point;;Massive;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;;;19;30;5;2;570;Small;Mining;56.9595 ;;0.5782 ;42.1189 ;0.0376 ;0.0550 ;;0.0659 ;0.0438 ;;0.0053 ;;0.0188 ;;;;;;;;0.0006 ;;0.0025 ;;;;;;;;;;;;;;;0.0038 ;;;;
976;Mining;133.91;fre feb 28, 2020 - 16:07:42;User;2;%;;;;;313;313;Tärna 549;7324575;493441;Sweref 99 TM;Tärna;No;2.5Y; 9/1;Light;Opaque;Breccie quartz;Arrow point;Point;;Massive;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;28;50;8;14;1400;Medium;Mining;55.8233 ;;0.1489 ;43.4913 ;0.0138 ;0.0537 ;0.1150 ;0.0371 ;0.0159 ;;0.0040 ;;0.0719 ;;;;;;;;;;0.0013 ;;;;;;;;0.0116 ;;;;;;;0.0076 ;;;;
977;Mining;133.99;fre feb 28, 2020 - 16:10:53;User;2;%;;;;;314;314;;7285986;509493;Sweref 99 TM;Tärna;No;2.5Y; 9/1;Light;Opaque;Breccie quartz;Point fragment;Point fragment;;Massive;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;;;26;53;;;1378;Medium;Mining;60.6979 ;;0.8145 ;38.0686 ;;0.0539 ;0.0115 ;0.1077 ;0.0364 ;;0.0080 ;;0.0431 ;;;;;;;;0.0009 ;;0.0027 ;;;;;;;;0.0163 ;;;;;;;0.0129 ;;;;
978;Mining;132.16;fre feb 28, 2020 - 16:14:12;User;2;%;;;;;315;315;;7285986;509493;Sweref 99 TM;Tärna;No;5Y; 8/2;Light;Opaque;Breccie quartz;Preform;Preform;;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;31;103;25;72;3193;Large;Mining;59.3374 ;;0.4227 ;39.7820 ;0.0130 ;0.0636 ;0.1548 ;0.1348 ;0.0224 ;;0.0081 ;;0.0261 ;;;;;;;;;;0.0013 ;;;;;;0.0007 ;;0.0188 ;;;;;;;0.0143 ;;;;
979;Mining;133.53;fre feb 28, 2020 - 16:19:17;User;2;%;;;;;316;316;Tärna 594;7327983;491179;Sweref 99 TM;Tärna;Yes;2.5Y; 9/1;Light;Opaque;Breccie quartz;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral grains;;;41;84;23;63;3444;Large;Mining;55.8795 ;0.4044 ;0.3136 ;43.2549 ;;0.0290 ;0.0214 ;0.0358 ;0.0278 ;;0.0008 ;;0.0125 ;;;;;;;;0.0003 ;;0.0029 ;;;;;;;;0.0138 ;;;;;;;0.0033 ;;;;
980;Mining;132.65;fre feb 28, 2020 - 16:22:19;User;2;%;;;;;318;318;Tärna 89;7290912;508697;Sweref 99 TM;Tärna;Yes;2.5Y; 4/3;Translucent;Translucent;Quartzite;Point preform;Preform;;Granular;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;;;22;47;;;1034;Medium;Mining;58.7351 ;;0.7581 ;39.7055 ;0.0315 ;0.1025 ;0.2379 ;0.1679 ;0.0481 ;;0.0007 ;;0.0686 ;;;;;;;;;;;;;;;;;;0.0109 ;;;;;;;0.0203 ;;;;
981;Mining;133.50;fre feb 28, 2020 - 16:25:24;User;2;%;;;;;319;319;;7285986;509493;Sweref 99 TM;Tärna;No;2.5Y; 9/1;Light;Opaque;Breccie quartzite;Point preform;Preform;;Granular;Fine-grained;Waxy;None;None;Smooth;No;Dark mineral inclusion;;;29;48;;;1392;Medium;Mining;0.0315 ;;0.3307 ;98.3419 ;0.1184 ;0.1836 ;0.3364 ;0.2280 ;0.0293 ;;0.0297 ;0.1846 ;0.0072 ;0.0083 ;;;;;;;;;;;;;;;;;0.1393 ;;;;;;;0.0312 ;;;;
983;Mining;133.17;m?Ñn mar 2, 2020 - 08:54:29;User;2;%;;;;;322;322;Vilhelmina 977;7208869;567544;Sweref 99 TM;Vilhelmina;No;N1; ;Dark;Black;Quartzite;Point;Point;;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;;;18;109;7;14;1962;Medium;Mining;;;1.4119 ;94.8092 ;0.0903 ;0.2066 ;2.0155 ;0.8124 ;0.2138 ;;0.0084 ;0.2430 ;;0.0064 ;;;;;;;;;;;;;;;;;0.0464 ;;;;;;;0.1477 ;;;;
