sample_id;site_id;sweref_x;sweref_y;parish;color;hue;munsell_hue;munsell_value;material;point_type;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_cm;weight_g
Stantors_3;L1936:1850;7131423;785482;Bygdeå;White;White;N9; ;Quartzite;;;Reference;;Yes;Massive;Medium-grained;Bright vitreous;None;None;Irregular;Yes;;43;65;;
Stantors_4;L1936:1850;7131423;785482;Bygdeå;White;White;N9; ;Quartzite;;;Reference;;Yes;Massive;Medium-grained;Bright vitreous;None;None;Fine;Yes;;34;89;;
Vilhelmina_ref_1;Vilhelmina 909;7208785;525415;Vilhelmina;Black;Dark;N2; ;Quartzite;;;Reference;;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;108;114;;
Vilhelmina_ref_10;Vilhelmina 640/651;7212329;534287;Vilhelmina;Gray;Dark;N2; ;Quartzite;;;Reference;;No;Granular;Medium-grained;Dull;None;None;Conchoidal;No;Bands of quartz;38;67;;
Vilhelmina_ref_11;Vilhelmina 135:1;7198760;546144;Vilhelmina;Black;Dark;N1; ;Quartzite;;;Reference;;No;Granular;Medium-grained;Waxy;None;None;Fine;No;;35;57;;
Vilhelmina_ref_12;Vilhelmina 1024;7211818;524477;Vilhelmina;Gray;Light;2.5Y; 7/1;Quartzite;;;Reference;;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Bands of dark mineral;38;55;;
Vilhelmina_ref_13;Vilhelmina 1152:1;7202395;539976;Vilhelmina;Light gray;Light;2.5Y; 7/1;Quartzite;;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;Larger quartz crystals;35;48;;
Vilhelmina_ref_14;Vilhelmina 1152:1;7202395;539976;Vilhelmina;Black;Dark;N2; ;Quartzite;;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;30;58;;
Vilhelmina_ref_15;Vilhelmina 1152:1;7202395;539976;Vilhelmina;Black;Dark;N3; ;Quartzite;;;Reference;;No;Massive;Medium-grained;Bright vitreous;None;None;Fine;Yes;;26;32;;
Vilhelmina_ref_16;Vilhelmina 1153:1;7202373;540309;Vilhelmina;Black;Dark;N3; ;Quartzite;;;Reference;;No;Massive;Medium-grained;Bright vitreous;None;None;Fine;Yes;;32;67;;
Vilhelmina_ref_17;Vilhelmina 1153:1;7202373;540309;Vilhelmina;Black;Dark;N3; ;Quartzite;;;Reference;;No;Massive;Medium-grained;Bright vitreous;None;None;Fine;Yes;;35;27;;
Vilhelmina_ref_2;Vilhelmina 1157:2;7202350;540325;Vilhelmina;Dark gray;Dark;N5; ;Quartzite;;;Reference;;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Both dark mineral veins and quartz veins;100;163;;
Vilhelmina_ref_3;Vilhelmina 1157:2;7202350;540325;Vilhelmina;Dark gray;Dark;N5; ;Quartzite;;;Reference;;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral inclusion;89;89;;
Vilhelmina_ref_4;Vilhelmina 909;7208785;525415;Vilhelmina;Black;Dark;N1; ;Quartzite;;;Reference;;No;Massive;Medium-grained;Dull;None;None;Conchoidal;Yes;;34;86;;
Vilhelmina_ref_5;Vilhelmina 909;7208785;525415;Vilhelmina;Gray;Dark;7.5Y; 3/1;Quartzite;;;Reference;;No;Granular;Medium-grained;Waxy;None;None;Fine;Yes;;49;67;;
Vilhelmina_ref_6;Vilhelmina 909;7208785;525415;Vilhelmina;Black;Dark;N1; ;Quartzite;;;Reference;;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;33;54;;
Vilhelmina_ref_7;"""Ayres Rock""";7211992;534055;Vilhelmina;Dark gray;Dark;N2; ;Quartzite;;;Reference;Surveyed;No;Granular;Fine-grained;Waxy;None;None;Smooth;Yes;;22;33;;
Vilhelmina_ref_8;"""Ayres Rock""";7211992;534055;Vilhelmina;Black;Dark;N2; ;Quartzite;;;Reference;Surveyed;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;No;Bands of quartz;20;36;;
Vilhelmina_ref_9;"""Ayres Rock""";7211992;534055;Vilhelmina;Black;Dark;N2; ;Quartzite;;;Reference;Surveyed;Yes;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;Bands of quartz;58;67;;
