Sample_ID;Site_ID;Inv.nr;Sub nr.;Fyndlåda;Objekt;Find nr.;Artefact;Type;Skärning;Sweref_N;Sweref_E;Parish;Foto nr.;Material;Color;Hue;Texture_1;Texture_2;Luster;Sedimentary structures;Foliation;Grain size;Layering;Topography;Homogeneity;Inclusion;%-inclusion;Surface;Patina;Max width (mm);Max length (mm);Max height (mm);Weight(g)
435;Lycksele 301;32334;3;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0329;IMG_0330";Quartzite;Black;Dark;Massive;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;15;29,3;;2,5
436;Lycksele 301;32334;4;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0331;IMG_0332";Quartzite;Dark gray;Dark;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;Iron oxide;Yes;18,5;37,7;;4,1
437;Lycksele 301;32334;5;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0333;IMG_0334";Slate;Brown;Dark;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Foliated;Fine;Yes;;;;Yes;13;14;;
438;Lycksele 301;32334;6;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0335;IMG_0336";Quartz;Translucent;Translucent;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;13;30;;
439;Lycksele 301;32334;7;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0340;IMG_0341";Quartzite;Gray;Dark;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;17;68;;9,9
440;Lycksele 301;32334;8;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0342;IMG_0343";Quartzite;Gray;Dark;Massive;Medium-grained;Dull;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;18,3;47,1;;5,9
441;Lycksele 301;32334;9;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0345;IMG_0347";Quartzite;Gray streaked with black;Dark;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;Bands of dark mineral;;;Yes;20,8;35;;5,1
442;Lycksele 301;32334;10;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0349;IMG_0350";Quartzite;Black;Dark;Massive;Fine-grained;Dull;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;Iron oxide;No;16;63;;
443;Lycksele 301;32334;11;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0351;IMG_0352";Quartzite;White;White;Massive;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;17;16;;
444;Lycksele 301;32334;12;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0353;IMG_0354";Quartzite;Gray streaked with black;Dark;Massive;Fine-grained;Dull;None;Foliated;Granoblastic;Non-foliated;Fine;No;Bands of dark mineral;;;Yes;16,8;35,6;;3,4
445;Lycksele 301;32334;13;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0355;IMG_0356";Quartzite;Black streaked with white;Dark;Massive;Fine-grained;Dull;None;None;Granoblastic;Non-foliated;Fine;No;;;;No;20,1;19,7;;2,1
446;Lycksele 301;32334;14;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0357;IMG_0358";Quartzite;Opaque;Light;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;Yes;20,4;38,9;;5,6
447;Lycksele 301;32334;15;;;;Raw material;Raw material;;7168150;676423;Lycksele;"IMG_0359;IMG_0360";Igneous rock?;Dark gray;Dark;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Smooth;Yes;;;;Yes;29;39;;
448;Lycksele 301;32334;16;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0361;IMG_0362";Igneous rock?;Black;Dark;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;15;56;;
