reading_no	sample_measurement_id	sample_id	site_id	parish	patina	munsell_hue	munsell_value	hue	color	material	artefact	type	note_measurement	texture_1	texture_2	luster	sedimentary_structures	foliation	topography	homogeneity	inclusion	surface	sample_size	t[1]	t[2]	t[3]
629	9	9	MV	Degerfors	No	5Y	 9/2	Light	Opaque	Quartz	Point	Point	MV	Massive	Fine-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Medium	-4.9490039586042105	-3.27723786451314	-0.07103679338082543
630	10	10	MV	Degerfors	No	5Y	 8/2	Light	Opaque	Quartzite	Arrow point	Point	MV	Massive	Medium-grained	Waxy	None	None	Fine	No	Dark mineral grains	MV	Small	-5.429857917242583	-2.454716645833809	-0.23857779973240217
631	11	11	MV	Degerfors	No	5Y	 8/1	Light	Opaque	Quartzite	Point	Point	MV	Granular	Medium-grained	Bright vitreous	None	None	Smooth	Yes	MV	MV	Small	-3.022509200629002	-1.8678844663770742	0.6777027158540825
632	12	12	MV	Degerfors	No	7.5Y	 8/2	Light	Opaque	Breccie quartz	Point	Point	MV	Massive	Medium-grained	Waxy	None	None	Conchoidal	No	Dark mineral grains	MV	Medium	-3.2989264223648904	-1.755479036472781	0.3322278579927284
633	13	13	MV	Degerfors	No	10Y	 6/3	White	White	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	Yes	Conchoidal	Yes	MV	MV	Medium	6.198995895527018	-0.4473899086393089	0.00909020570524382
634	14a	14	Degerfors 318	Degerfors	Yes	10Y	 9/1	White	White	Quartzite	Point preform	Preform	Sample point on quartz surface	Granular	Coarse-grained	Dull	None	Yes	Conchoidal	No	Quartz	Quartz in other matrix	Medium	1.5199849849758007	2.0392272067209953	1.4127021448551431
635	14b	14	Degerfors 318	Degerfors	Yes	10Y	 9/1	White	White	Quartzite	Point preform	Preform	Sample point on white matrix	Granular	Coarse-grained	Dull	None	Yes	Conchoidal	No	Quartz	Quartz in other matrix	Medium	0.8773393394300937	2.0152990573159397	1.228341264319737
636	15	15	Lycksele 301	Lycksele	Yes	2.5Y	 9/1	Light	Opaque	Quartz	Point preform	Preform	MV	Massive	Massive	Bright vitreous	None	None	Irregular	Yes	MV	Iron oxide or dirt	Medium	-2.5272137868292965	0.4191573275802781	-0.7924347794795521
637	16	16	Lycksele 301	Lycksele	Yes	N9	 	White	White	Quartz	Point	Point	MV	Massive	Fine-grained	Waxy	None	None	Fine	Yes	MV	Iron oxide or dirt	Medium	-2.7733227839714294	-1.1704589934048364	-0.20460667049851927
638	17	17	Lycksele 301	Lycksele	Yes	N2	 	Dark	Black	Quartzite	Arrow point fragment	Point fragment	MV	Granular	Medium-grained	Bright vitreous	None	None	Fine	No	Mineral grains	Iron oxide or dirt	Small	-1.797959650955501	1.6019243357411341	-0.09125289835600531
639	17b	17	Lycksele 301	Lycksele	Yes	N2	 	Dark	Black	Quartzite	Arrow point fragment	Point fragment	Sample point on side with iron oxide	Granular	Medium-grained	Bright vitreous	None	None	Fine	No	Mineral grains	Iron oxide or dirt	Small	-1.092199901942843	3.141104345873984	0.44687009174717973
640	18	18	Lycksele 301	Lycksele	No	5Y	 9/2	Light	Opaque	Quartzite	Arrow point	Point	MV	Massive	Fine-grained	Bright vitreous	None	Yes	Conchoidal	Yes	MV	MV	Medium	-4.966711273568398	-2.0280320701560686	0.10513584761675758
641	19	19	Lycksele 301	Lycksele	Yes	N1	 	Dark	Black	Quartzite	Arrow point	Point	MV	Granular	Medium-grained	Bright vitreous	None	Yes	Conchoidal	No	Mineral grains	MV	Medium	-0.09707477861897669	0.26622038919685237	-0.21477063332985033
642	20	20	Lycksele 301	Lycksele	Yes	N2	 	Dark	Black	Quartzite	Point	Point	MV	Granular	Medium-grained	Bright vitreous	None	Yes	Fine	No	Bands of quartz	Iron oxide	Medium	-1.011741896706171	1.294863155632024	-2.0407891569282395
643	21	21	Lycksele 301	Lycksele	Yes	5Y	 8/2	White	White	Quartzite	Arrow point	Point	MV	Granular	Fine-grained	Bright vitreous	None	None	Fine	Yes	MV	MV	Medium	-6.66859956604428	-3.5714363864783447	-0.3775200030522407
644	22	22	Lycksele 401	Lycksele	No	N1	 	Dark	Black	Quartzite	Arrow point	Point	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	MV	Medium	-3.4505853037282725	-0.6816119137075971	0.7406911412920985
645	23	23	Lycksele 401	Lycksele	No	5Y	 8/3	Light	Opaque	Quartz	Arrow point	Point	MV	Massive	Fine-grained	Waxy	None	None	Fine	Yes	MV	MV	Small	-5.821269788321911	-3.013243403805394	-1.1129527327538873
646	24	24	MV	Sorsele	No	7.5Y	 7/2	Light	Opaque	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Fine	Yes	MV	MV	Medium	-1.4567990389223877	-0.39780005606559266	1.5894204576691562
647	25	25	Sorsele 282	Sorsele	No	N3	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Large	-2.0382345432611992	-0.40208594020493094	-0.8586751427133504
648	26	26	MV	Sorsele	No	7.5Y	 7/2	Light	Opaque	Quartzite	Point fragment	Point fragment	MV	Massive	Fine-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Medium	5.892923899960976	-1.207111517040382	0.11616828518768714
649	27	27	MV	Sorsele	No	MV	 	Translucent	Translucent	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Smooth	Yes	MV	MV	Medium	-5.663878148523079	-3.232621134695949	0.7284811167024712
650	28	28	Sorsele 552	Sorsele	Yes	N2	 	Dark	Black	Quartzite	Point	Point	MV	Granular	Medium-grained	Bright vitreous	None	None	Smooth	No	Bands of quartz	Iron oxide	Small	-1.6202629848014791	0.7269412391707768	0.387935954060018
651	29	29	Sorsele 733	Sorsele	No	2.5Y	 8/1	Light	Opaque	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Smooth	Yes	MV	MV	Small	-2.068624390186722	-2.918442964177086	1.1562753072987717
652	30	30	MV	Sorsele	No	N3	 	Dark	Gray	Quartzite	Preform	Preform	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Bands of dark mineral	MV	Large	-1.115168526175065	-0.2921050880440407	-0.5317189271011439
653	31	31	Sorsele 733	Sorsele	No	N1	 	Dark	Gray	Quartzite	Point	Point	MV	Granular	Fine-grained	Bright vitreous	None	None	Smooth	No	Bands of quartz	MV	Small	-1.5054169785928455	0.47644155841439256	-1.3531035950885635
654	32	32	Sorsele 733	Sorsele	No	N1	 	Dark	Black	Quartzite	Point	Point	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	No	Mineral grains	MV	Medium	5.303246571013156	-0.8818349525097051	-0.3573137325381278
655	33	33	Sorsele 334	Sorsele	No	5Y	 9/1	Translucent	Translucent	Breccie quartz	Point fragment	Point fragment	MV	Massive	Fine-grained	Waxy	None	None	Fine	No	Dark mineral grains	MV	Small	-4.445290700722896	-2.5839446387936817	-0.6105189950403611
656	34	34	Stensele 83	Stensele	No	N9	 	Light	Opaque	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Fine	Yes	MV	MV	Medium	-4.621857686442251	-3.0579041529294377	0.5915071152615776
657	35	35	Stensele 481	Stensele	No	N1	 	Dark	Black	Quartzite	Arrow point	Point	MV	Granular	Medium-grained	Waxy	None	None	Conchoidal	Yes	MV	MV	Small	4.987420131841406	-0.5363501314889607	-1.1177644393260397
658	36	36	Stensele 74	Stensele	No	7.5Y	 8/1	Light	Opaque	Quartzite	Arrow point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Fine	Yes	MV	MV	Medium	3.0773845049945767	-2.5282677335862433	-0.3718847550941303
659	37	37	Stensele 200	Stensele	No	7.5Y	 8/1	Light	Opaque	Breccie quartz	Arrow point fragment	Point fragment	MV	Massive	Fine-grained	Waxy	None	None	Smooth	No	Dark mineral grains	MV	Medium	-6.097690040951751	-3.229048494023838	-1.128323495418948
660	38	38	Stensele 106	Stensele	Yes	7.5Y	 7/2	Light	Opaque	Breccie quartz	Arrow point fragment	Point fragment	MV	Massive	Fine-grained	Waxy	None	None	Smooth	No	Dark mineral grains	MV	Medium	3.1205253677944924	-2.7122464229524827	0.2377079297855011
661	39	39	MV	Umeå	No	7.5Y	 8/2	Light	Opaque	Breccie quartz	Point	Point	MV	Massive	Fine-grained	Waxy	None	None	Conchoidal	No	Dark mineral grains	Dirt, modern	Medium	-2.4426893911584187	-2.4390194110009022	1.0481691666160229
662	40	40	Umeå 262	Umeå	No	MV	 	Translucent	Translucent	Quartz	Point	Point	Small object	Massive	Massive	Bright vitreous	None	None	Irregular	No	Dark mineral grains	MV	Small	-0.43574665929784273	0.5467725459875158	0.2647162984676888
663	41	41	Umeå 510	Umeå	No	N2	 	Dark	Gray	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Conchoidal	No	Bands of quartz and mineral grains	MV	Medium	4.215818128093094	-0.8881748109084425	0.6786067564970888
664	42	42	MV	Umeå	Yes	N3	 	Light	Gray	Quartzite	Arrow point	Point	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	Iron oxide	Medium	7.02412961648216	0.4667207663819502	2.725053756449066
665	42b	42	MV	Umeå	Yes	N3	 	Light	Gray	Quartzite	Arrow point	Point	Sample point on side with iron oxide	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	Iron oxide	Medium	9.350365209001694	1.0706742904381428	2.376029176333078
666	43	43	MV	Umeå	Yes	7.5Y	 7/3	Light	Opaque	Breccie quartz	Arrow point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Fine	No	Dark mineral grains	Dirt	Medium	-2.6796650083511175	-0.2140726338908924	0.5423104290336294
668	44	44	Stensele 75	Stensele	No	N9	 	White	White	Quartzite	Point preform	Preform	MV	Granular	Fine-grained	Bright vitreous	None	None	Irregular	Yes	MV	MV	Large	-4.173582925196083	-3.312717238259315	0.23870208170631257
