sample_id;site_id;parish;sweref_x;sweref_y;inv.nr.;sub.nr.;fyndlåda;object;find_nr.;artefact;type;cross_section;photo_nr.;material;color;munsell_hue;munsell_value;texture_1;texture_2;luster;sediment;foliation;homogeneity;inclusion;%-inclusion;surface;patina;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm^2;sample_size;parish_level
171;Åsele 129;Åsele;7116373;615774;21592;8;;;;Point preform;Preform;;"IMG_9721;IMG_9722";Quartzite;Gray;N4; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;15;17;16;2;255;Small;
172;Åsele 129;Åsele;7116373;615774;21592;9;;;;Arrow point;Point;;"IMG_9723;IMG_9724";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;No;Bands of quartz;;Iron oxide;Yes;16;61;7;6;976;Medium;
173;Åsele 129;Åsele;7116373;615774;21592;10;;;;Arrow point;Point;;"IMG_9725;IMG_9726";Breccie quartz;Opaque;2.5Y; 3/1;Granular;Fine-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;;Yes;17;23;5;3;391;Small;
174;Åsele 129;Åsele;7116373;615774;21592;11;;;;Arrow point;Point;;"IMG_9727;IMG_9728";Quartzite;Gray;N1; ;Granular;Fine-grained;Dull;None;None;Yes;;;;Yes;18;18;5;2;324;Small;
175;Åsele 129;Åsele;7116373;615774;21592;14;;;;Point preform;Preform;;"IMG_9729;IMG_9730";Quartzite;Gray;N4; ;Granular;Fine-grained;Waxy;None;None;No;Dark mineral inclusion;;;No;29;52;11;17;1508;Medium;
176;Åsele 129;Åsele;7116373;615774;21592;15;;;;Arrow point;Point;;"IMG_9731;IMG_9732";Quartzite;Black;N1; ;Granular;Fine-grained;Bright vitreous;None;None;No;Banded quartz;;;Yes;17;61;6;7;1037;Medium;
177;;Åsele;617069;7119841;21592;16;;;;Preform;Preform;;"IMG_9733;IMG_9734";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;No;Mineral grains;;Iron oxide;Yes;29;51;12;16;1479;Medium;TRUE
178;Åsele 91;Åsele;7116832;612227;21652;2;;;;Bifacial point;Point;;"IMG_9735;IMG_9736";Quartzite;White;7.5Y; 7/1;Granular;Fine-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;;Yes;17;35;6;6;595;Small;
179;Åsele 91;Åsele;7116832;612227;21652;3;;;;Bifacial point;Point;;"IMG_9737;IMG_9738";Breccie quartz;Opaque;5Y; 7/2;Massive;Fine-grained;Bright vitreous;None;None;No;Dark mineral grains;;;No;16;27;5;2;432;Small;
180;Åsele 91;Åsele;7116832;612227;21652;10;;;;Arrow point;Point;;"IMG_9739;IMG_9740";Quartz;Opaque;5Y; 7/2;Granular;Fine-grained;Bright vitreous;None;None;No;Dark mineral grains;;;No;12;13;4;1;156;Small;
181;Åsele 92;Åsele;7116829;611906;21653;9;;;;Point preform;Preform;;"IMG_9741;IMG_9742";Quartz;Opaque;5Y; 7/2;Granular;Fine-grained;Waxy;None;None;Yes;;;;Yes;32;34;9;10;1088;Medium;
182;Åsele 99;Åsele;7119120;610139;21657;24;;;;Point preform;Preform;;"IMG_9743;IMG_9744";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;34;42;9;14;1428;Medium;
183;;Åsele;617069;7119841;21657;25;;;;Point preform;Preform;;"IMG_9745;IMG_9746;IMG_9747";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;No;40;54;14;31;2160;Large;TRUE
184;Åsele 101;Åsele;7118728;609614;21658;1;;;;Point;Point;;"IMG_9748;IMG_9749";Quartzite;White;5Y; 9/1;Granular;Medium-grained;Dull;None;None;No;Quartz and matrix;;;No;19;42;7;7;798;Medium;
185;Åsele 107;Åsele;7118235;610410;21664;26;;;;Preform;Preform;;"IMG_9750;IMG_9751";Quartzite;Black;N1; ;Granular;Fine-grained;Bright vitreous;Bedding;None;No;Banded;;;No;33;37;9;11;1221;Medium;
186;Åsele 107;Åsele;7118235;610410;21664;27;;;;Point;Point;;"IMG_9752;IMG_9753";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;;Yes;38;40;7;14;1520;Medium;
187;Åsele 107;Åsele;7118235;610410;21664;28;;;;Point;Point;;"IMG_9754;IMG_9755";Quartzite;Gray;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;No;28;50;10;12;1400;Medium;
188;Åsele 117;Åsele;7123473;611413;21674;1;;;;Point;Point;;"IMG_9756;IMG_9757";Quartzite;Gray;N1; ;Granular;Medium-grained;Waxy;None;None;No;Mineral grains;;;No;17;28;4;2;476;Small;
189;Åsele 117;Åsele;7123473;611413;21674;2;;;;Point;Point;;"IMG_9758;IMG_9759";Quartzite;Light gray;5Y; 6/1;Granular;Fine-grained;Dull;None;None;No;Mineral grains;;;Yes;13;22;3;1;286;Small;
190;Åsele 119;Åsele;7126340;609918;21676;2;;;;Point fragment;Point fragment;;"IMG_9760;IMG_9761";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;No;Mineral grains;;;No;30;36;10;13;1080;Medium;
191;Åsele 117;Åsele;7123473;611413;21674;55;;;;Point preform;Preform;;"IMG_9762;IMG_9763";Quartzite;Gray;N4; ;Granular;Fine-grained;Bright vitreous;None;None;No;Dark mineral inclusion and iron;;Iron oxide;Yes;25;64;10;18;1600;Medium;
192;Åsele 236;Åsele;7121285;635089;27157;1;;;;Point preform;Preform;;"IMG_9764;IMG_9765";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;No;Mineral grains;;;No;30;50;;;1500;Medium;
193;Vilhelmina 619;Vilhelmina;7205350;539917;15254;1;;;;Point preform;Preform;;"IMG_9767;IMG_9768;IMG_9769";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;67;123;34;301;8241;Large;
194;Vilhelmina 619;Vilhelmina;7205350;539917;15252;2;;;;Point preform;Preform;;"IMG_9770;IMG_9771";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;36;46;10;21;1656;Medium;
195;Vilhelmina 240;Vilhelmina;7174962;566693;15285;8;;;;Point fragment;Point fragment;;"IMG_9772;IMG_9773";Breccie quartz;Opaque;5Y; 7/3;Granular;Fine-grained;Waxy;None;None;No;Dark mineral grains;;;No;35;92;10;31;3220;Large;
196;Vilhelmina 643;Vilhelmina;7196664;540871;14591;20;;;;Point preform;Preform;;"IMG_9774;IMG_9775;IMG_9776";Quartzite;Black;5Y; 2/1;Granular;Medium-grained;Waxy;None;None;Yes;;;;Yes;47;98;26;103;4606;Large;
197;Vilhelmina 643;Vilhelmina;7196664;540871;14591;15;;;;Point preform;Preform;;"IMG_9777;IMG_9778";Quartzite;Gray;5Y; 3/1;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;50;;Yes;45;78;19;66;3510;Large;
198;;Vilhelmina;548201;7201665;14591;21;;;;Point preform;Preform;;"IMG_9780;IMG_9781";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;Iron oxide;Yes;61;114;26;209;6954;Large;TRUE
199;;Vilhelmina;548201;7201665;15252;14;;;;Scraper;Scraper;;"IMG_9782;IMG_9783";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;42;67;12;38;2814;Large;TRUE
200;Vilhelmina 611;Vilhelmina;7203619;540620;15253;1;;;;Point preform;Preform;;"IMG_9784;IMG_9785";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;Yes;25;69;11;16;1725;Medium;
201;Vilhelmina 636;Vilhelmina;7201659;541153;14073;88;;;;Point preform;Preform;;"IMG_9786;IMG_9787";Quartzite;Gray streaked with black;5Y; 6/1;Granular;Medium-grained;Dull;None;None;No;Dark mineral inclusion;;Iron oxide;Yes;39;77;19;56;3003;Large;
202;Vilhelmina 168;Vilhelmina;7196187;576229;14672;1;;;;Arrow point;Point;;"IMG_9788;IMG_9789";Quartzite;Gray streaked with white;N3; ;Massive;Fine-grained;Bright vitreous;None;None;No;Mineral inclusion;;;No;12;42;5;2;504;Small;
203;Vilhelmina 168;Vilhelmina;7196187;576229;14672;2;;;;Point preform;Preform;;"IMG_9790;IMG_9791";Quartz;Opaque;5Y; 7/1;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;18;41;7;6;738;Medium;
204;Vilhelmina 619;Vilhelmina;7205350;539917;15252;4;;;;Point preform;Preform;;"IMG_9792;IMG_9793";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;24;58;10;16;1392;Medium;
205;Vilhelmina 931;Vilhelmina;7195741;581917;14733;2;;;;Point preform;Preform;;"IMG_9794;IMG_9795";Quartzite;Opaque;7.5Y; 8/1;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;;No;16;58;5;7;928;Medium;
206;Vilhelmina 854;Vilhelmina;7217560;557478;14754;2;;;;Point;Point;;"IMG_9796;IMG_9797;IMG_9798";Quartzite;Light gray;2.5Y; 9/1;Granular;Medium-grained;Dull;None;None;No;Bands of quartz;15;White discoloration;Yes;17;41;5;6;697;Medium;
207;Vilhelmina 542;Vilhelmina;7173407;571126;13988;2;;;;Point preform;Preform;;"IMG_9799;IMG_9800;IMG_9801";Quartzite;Gray streaked with black;5Y; 3/2;Granular;Medium-grained;Waxy;None;None;No;Dark mineral inclusion;25;;No;26;65;13;19;1690;Medium;
208;Vilhelmina 636;Vilhelmina;7201659;541153;14073;93;;;;Point preform;Preform;;"IMG_9802;IMG_9803";Quartzite;Gray streaked with black;5Y; 4/2;Granular;Fine-grained;Waxy;None;None;No;Dark mineral inclusion;10;;No;33;47;11;15;1551;Medium;
209;Vilhelmina 941;Vilhelmina;7196260;580291;14491;1;;;;Arrow point;Point;Spetsoval;"IMG_9804;IMG_9805";Breccie quartz;Opaque;2.5Y; 8/1;Massive;Fine-grained;Waxy;None;None;No;Dark mineral grains;;;No;20;46;7;8;920;Medium;
210;Vilhelmina 619;Vilhelmina;7205350;539917;15252;5;;;;Point preform;Preform;;"IMG_9806;IMG_9807";Quartzite;Gray;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;27;58;12;13;1566;Medium;
211;Vilhelmina 931;Vilhelmina;7195741;581917;14733;6;;;;Point;Point;;"IMG_9808;IMG_9809";Quartzite;Opaque;2.5Y; 8/2;Granular;Fine-grained;Bright vitreous;Possible bedding;None;Yes;;;;No;19;15;6;2;285;Small;
212;Vilhelmina 636;Vilhelmina;7201659;541153;14073;87;;;;Point preform;Preform;;"IMG_9810;IMG_9811";Quartzite;Gray streaked with black;5Y; 6/1;Granular;Medium-grained;Waxy;None;None;No;Dark mineral inclusion;10;;No;50;86;30;112;4300;Large;
213;;Vilhelmina;548201;7201665;14591;12;;;;Preform;Preform;;"IMG_9812;IMG_9813";Quartzite;Gray;N3; ;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;20;;No;53;91;20;93;4823;Large;TRUE
214;Vilhelmina 619;Vilhelmina;7205350;539917;15252;3;;;;Point preform;Preform;;"IMG_9814;IMG_9815";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;43;38;14;24;1634;Medium;
215;Vilhelmina 619;Vilhelmina;7205350;539917;15252;1;;;;Point preform;Preform;;"IMG_9816;IMG_9817";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;Iron oxide;No;43;39;16;24;1677;Medium;
216;;Vilhelmina;548201;7201665;14591;3;;;;Preform;Preform;;"IMG_9818;IMG_9819;IMG_9821";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;46;83;17;72;3818;Large;TRUE
217;;Vilhelmina;548201;7201665;14559;22;;;;Retouched flake;Flake;;"IMG_9824;IMG_9825";Quartzite;Black;N1; ;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;Iron oxide;Yes;24;26;6;4;624;Medium;TRUE
218;Vilhelmina 948;Vilhelmina;7197896;578653;14755;4;;;;Point;Point;;"IMG_9826;IMG_9827;IMG_9828";Quartzite;Gray;7.5Y; 6/1;Granular;Medium-grained;Dull;None;None;Yes;;;Iron oxide;Yes;17;51;6;5;867;Medium;
219;;Vilhelmina;548201;7201665;14551;3;;;;Arrow point preform;Preform;;"IMG_9829;IMG_9830";Quartzite;Gray;N3; ;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;Iron oxide;Yes;33;44;9;13;1452;Medium;TRUE
220;;Vilhelmina;548201;7201665;14493;6;;;;Point preform;Preform;;"IMG_9831;IMG_9832;IMG_9833";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;Iron oxide;Yes;47;79;20;72;3713;Large;TRUE
221;Vilhelmina 636;Vilhelmina;7201659;541153;14073;86;;;;Point preform;Preform;;"IMG_9834;IMG_9835";Quartzite;Gray streaked with black;7.5Y; 4/1;Granular;Medium-grained;Waxy;None;None;No;Dark mineral inclusion;30;;Yes;31;51;10;19;1581;Medium;
222;;Vilhelmina;548201;7201665;14492;7;;;;Spear point preform;Preform;;"IMG_9841;IMG_9842;IMG_9843";Slate;Black;N1; ;Massive;Fine-grained;Dull;None;Foliated;Yes;;;;Yes;41;71;9;29;2911;Large;TRUE
223;Vilhelmina 948;Vilhelmina;7197896;578653;14755;2;;;;Point preform;Preform;;"IMG_9847;IMG_9848";Quartzite;Gray;7.5Y; 4/1;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;29;64;11;20;1856;Medium;
224;Vilhelmina 931;Vilhelmina;7195741;581917;14733;1;;;;Point preform;Preform;;"IMG_9849;IMG_9850";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;30;70;9;21;2100;Large;
225;;Vilhelmina;548201;7201665;14722;1;;;;Point preform;Preform;;"IMG_9851;IMG_9852";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;No;30;120;11;54;3600;Large;TRUE
226;Vilhelmina 931;Vilhelmina;7195741;581917;14733;4;;;;Point;Point;;"IMG_9853;IMG_9854";Quartzite;Black;N1; ;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;;No;16;52;6;7;832;Medium;
227;Vilhelmina 539;Vilhelmina;7171348;570601;13995;3;;;;Arrow point;Point;;"IMG_9855;IMG_9857";Quartzite;Gray;7.5Y; 3/1;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;15;;No;18;34;6;4;612;Medium;
228;Vilhelmina 931;Vilhelmina;7195741;581917;14733;5;;;;Point;Point;;"IMG_9858;IMG_9859";Quartzite;Gray;7.5Y; 3/1;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;5;;Yes;17;42;7;6;714;Medium;
229;Vilhelmina 1254;Vilhelmina;7173533;570768;14559;13;;;;Point preform;Preform;;"IMG_9860;IMG_9861";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;Yes;;;;Yes;25;48;8;10;1200;Medium;
230;Vilhelmina 949;Vilhelmina;548201;7201665;14492;8;;;;Arrow point;Point;;"IMG_9862;IMG_9863";Breccie quartz;Opaque;5Y; 9/1;Massive;Fine-grained;Waxy;None;Possible foliation;No;Dark mineral grains;;;No;18;68;6;10;1224;Medium;
231;Vilhelmina 1254;Vilhelmina;7173533;570768;14559;20;;;;Arrow point;Point;;"IMG_9864;IMG_9865";Quartzite;Gray;N3; ;Granular;Fine-grained;Waxy;None;None;No;Mineral inclusion;;;No;16;30;5;5;480;Small;
232;Vilhelmina 1254;Vilhelmina;7173533;570768;14559;17;;;;Arrow point;Point;;"IMG_9866;IMG_9867";Quartzite;Gray streaked with white;N3; ;Granular;Medium-grained;Bright vitreous;None;None;No;;;Possibly weathered;Yes;14;24;3;2;336;Small;
233;Vilhelmina 1254;Vilhelmina;7173533;570768;14559;18;;;;Arrow point;Point;;"IMG_9871;IMG_9872";Quartzite;Light gray;1B; 6/1;Massive;Fine-grained;Dull;None;Possible foliation;No;;;;Yes;16;33;3;2;528;Small;
234;Vilhelmina 1254;Vilhelmina;7173533;570768;14559;21;;;;Arrow point;Point;;"IMG_9873;IMG_9874";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;23;37;7;7;851;Medium;
235;Vilhelmina 240;Vilhelmina;7174962;566693;15256;;;;;Point;Point;;"IMG_9875;IMG_9876;IMG_9877";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;Yes;34;97;8;40;3298;Large;
236;Vilhelmina 1254;Vilhelmina;7173533;570768;14559;19;;;;Arrow point;Point;;"IMG_9878;IMG_9879";Quartzite;White;2.5Y; 7/1;Granular;Fine-grained;Dull;None;None;No;;;;No;8;28;4;2;224;Small;
237;Vilhelmina 1254;Vilhelmina;7173533;570768;14559;15;;;;Arrow point preform;Preform;;"IMG_9880;IMG_9881";Quartzite;Black;N1; ;Granular;Fine-grained;Bright vitreous;None;None;No;;;;Yes;19;39;6;5;741;Medium;
238;Vilhelmina 1254;Vilhelmina;7173533;570768;14559;16;;;;Arrow point;Point;;"IMG_9882;IMG_9883";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;15;43;5;4;645;Medium;
239;Vilhelmina 952;Vilhelmina;7198162;578491;14497;1;;;;Point preform;Preform;;"IMG_9884;IMG_9885";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;48;109;22;111;5232;Large;
240;Vilhelmina 948;Vilhelmina;7197896;578653;13733;4;;;;Point preform;Preform;;"IMG_9886;IMG_9887";Quartzite;Gray;7.5Y; 4/1;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;No;31;82;9;28;2542;Large;
241;Vilhelmina 115;Vilhelmina;7204853;518271;2505;1;;;;Arrow point preform;Preform;;"IMG_9889;IMG_9890;IMG_9891;IMG_9892";Quartzite;Brown streaked with black;5Y; 3/2;Conglomerate;Fine-grained;Waxy;Bedding;None;No;Bands of quartz;30;;No;29;89;9;30;2581;Large;
242;;Vilhelmina;548201;7201665;6863;7;;;;Point preform;Preform;;"IMG_9893;IMG_9894";Quartzite;White;N9; ;Granular;Medium-grained;Dull;None;Possible foliation;Yes;;;;No;24;52;11;12;1248;Medium;TRUE
243;Vilhelmina 181;Vilhelmina;7195514;581852;6731;7;;;;Arrow point preform;Preform;;"IMG_9895; IMG_9896";Quartzite;Gray;N3; ;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;10;;No;21;35;8;5;735;Medium;
244;Vilhelmina 115;Vilhelmina;7204853;518271;2505;2;;;;Arrow point;Point;Spetsoval;"IMG_9897;IMG_9898";Quartzite;Gray;7.5Y; 7/1;Granular;Fine-grained;Dull;None;None;Yes;;;;No;17;40;5;3;680;Medium;
245;Vilhelmina 118;Vilhelmina;7204670;519129;2538;27;;;;Point preform;Preform;;"IMG_9899;IMG_9900";Quartzite;Opaque;5Y; 9/2;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;;No;28;38;8;10;1064;Medium;
246;Vilhelmina 117;Vilhelmina;7204780;518625;2645;10;;;;Point preform;Preform;;"IMG_9901;IMG_9902";Quartzite;White;7.5Y; 8/2;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;No;23;38;7;8;874;Medium;
247;Vilhelmina 31;Vilhelmina;7233725;544397;2534;1;;;;Point preform;Preform;;"IMG_9903;IMG_9904";Quartzite;Light gray;7.5Y; 7/1;Granular;Medium-grained;Dull;None;None;Yes;;;;Yes;26;56;11;12;1456;Medium;
248;;Vilhelmina;548201;7201665;6724;6;;;;Point preform;Preform;;"IMG_9905;IMG_9906";Quartzite;Gray streaked with black;2.5Y; 3/2;Granular;Medium-grained;Waxy;None;None;No;Dark mineral inclusion;50;;No;35;106;11;93;3710;Large;TRUE
249;Vilhelmina 115;Vilhelmina;7204853;518271;2501;1;;;;Point preform;Preform;;"IMG_9907;IMG_9908";Quartzite;Gray streaked with black;7.5Y; 3/2;Massive;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;5;;No;40;90;18;70;3600;Large;
250;;Vilhelmina;548201;7201665;13734;2;;;;Retouched flake;Flake;;"IMG_9909;IMG_9910";Quartzite;Gray;5Y; 6/2;Granular;Medium-grained;Bright vitreous;None;None;No;Bands of quartz;20;;No;30;72;11;18;2160;Large;TRUE
251;Vilhelmina 356;Vilhelmina;7172579;571869;9492;3;;;;Point preform;Preform;;"IMG_9911;IMG_9912";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;22;74;;;1628;Medium;
252;;Vilhelmina;548201;7201665;13718;31;;;;Preform;Preform;;"IMG_9913;IMG_9914;IMG_9915;IMG_9916";Quartz;Opaque;N8; ;Massive;Massive;Bright vitreous;None;None;Yes;;;;No;25;27;11;6;675;Medium;TRUE
253;Vilhelmina 118;Vilhelmina;7204670;519129;9492;1;;;;Spear point preform;Preform;;"IMG_9917;IMG_9918";Quartzite;Gray streaked with black;5Y; 5/1;Granular;Medium-grained;Waxy;None;None;No;Dark mineral inclusion;;;No;30;138;15;55;4140;Large;
254;Vilhelmina 118;Vilhelmina;7204670;519129;9492;2;;;;Spear point preform;Preform;;"IMG_9919;IMG_9920";Quartzite;Gray streaked with black;5Y; 5/1;Granular;Medium-grained;Waxy;None;None;No;Dark mineral inclusion;;;No;31;126;13;51;3906;Large;
255;Vilhelmina 118;Vilhelmina;7204670;519129;2538;22;;;;Point preform;Preform;;"IMG_9921;IMG_9922";Quartzite;Opaque;5Y; 8/1;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;66;135;32;58;8910;Large;
256;Vilhelmina 190;Vilhelmina;7194990;583867;13732;123;;;;Point preform;Preform;;"IMG_9923;IMG_9924";Quartzite;Light gray;7.5Y; 7/1;Granular;Medium-grained;Dull;None;None;No;Dark mineral inclusion;;;Yes;47;90;25;107;4230;Large;
257;;Vilhelmina;548201;7201665;6722;4;;;;Scraper;Scraper;;"IMG_9925;IMG_9926;IMG_9927;IMG_9928";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;No;Dark mineral inclusion;40;;No;25;58;8;17;1450;Medium;TRUE
258;Vilhelmina 115;Vilhelmina;7204853;518271;3372;2;;;;Arrow point;Point;;"IMG_9929;IMG_9930";Quartzite;Gray;N2; ;Granular;Fine-grained;Waxy;None;None;No;Bands of quartz;;;No;11;22;5;2;242;Small;
259;Vilhelmina 117;Vilhelmina;7204780;518625;2645;3;;;;Point;Point;;"IMG_9931;IMG_9933;IMG_9934";Quartzite;Black;N1; ;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;14;33;4;4;462;Small;
260;Vilhelmina 118;Vilhelmina;7204670;519129;2538;28;;;;Point preform;Preform;;"IMG_9935;IMG_9936";Quartzite;Opaque;7.5Y; 6/1;Granular;Fine-grained;Waxy;None;Foliated;No;Dark mineral inclusion;;;No;51;46;17;30;2346;Large;
261;Vilhelmina 118;Vilhelmina;7204670;519129;2538;30;;;;Point preform;Preform;;"IMG_9937;IMG_9938";Quartzite;Opaque;5Y; 9/1;Granular;Fine-grained;Waxy;None;None;No;Dark mineral grains;;;No;30;30;8;9;900;Medium;
262;Vilhelmina 117;Vilhelmina;7204780;518625;2645;9;;;;Point preform;Preform;;"IMG_9939;IMG_9943;IMG_9944";Quartzite;Black;N1; ;Massive;Fine-grained;Waxy;None;None;Yes;;;;No;18;46;9;7;828;Medium;
263;;Vilhelmina;548201;7201665;6729;8;;;;Scraper;Scraper;;"IMG_9946;IMG_9947";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;46;56;10;32;2576;Large;TRUE
264;Vilhelmina 95;Vilhelmina;7207069;515822;3377;2;;;;Point preform;Preform;;"IMG_9948;IMG_9949";Quartzite;Orange;2.5Y; 6/8;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;29;60;15;30;1740;Medium;
265;Vilhelmina 114;Vilhelmina;7204798;517965;3371;1;;;;Arrow point;Point;;"IMG_9950;IMG_9951";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;20;36;7;6;720;Medium;
266;;Vilhelmina;548201;7201665;3378;7;;;;Scraper;Scraper;;"IMG_9952;IMG_9953";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;Bands of quartz;;;Yes;39;50;17;39;1950;Medium;TRUE
267;Vilhelmina 115;Vilhelmina;7204853;518271;2502;1;;;;Arrow point;Point;;"IMG_9954;IMG_9956;IMG_9962";Quartzite;Gray streaked with black;7.5Y; 6/2;Granular;Fine-grained;Bright vitreous;None;None;No;Dark mineral inclusion;;;No;18;15;5;2;270;Small;
268;Vilhelmina 235;Vilhelmina;7175875;565898;13720;1;;;;Arrow point;Point;Tvär bas;"IMG_9965;IMG_9966";Quartzite;Gray;N2; ;Granular;Fine-grained;Waxy;None;None;No;Bands of quartz;;;No;18;48;7;6;864;Medium;
269;Vilhelmina 115;Vilhelmina;7204853;518271;2502;2;;;;Arrow point;Point;Spetsoval;"IMG_9967;IMG_9968";Quartzite;Gray;1Y; 4/2;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;;No;15;14;4;;210;Small;
270;Vilhelmina 33;Vilhelmina;7233481;547334;2510;6;;;;Arrow point preform;Preform;Spetsoval;"IMG_9969;IMG_9970";Quartzite;Gray;1Y; 7/1;Granular;Fine-grained;Bright vitreous;None;None;No;Dark mineral inclusion and bands of quartz;50;;No;24;21;10;6;504;Small;
271;Vilhelmina 31;Vilhelmina;7233725;544397;2534;2;;;;Point preform;Preform;;"IMG_9971;IMG_9972";Quartzite;Gray;1Y; 7/1;Granular;Medium-grained;Bright vitreous;None;None;No;Bands of quartz;50;;No;26;50;8;11;1300;Medium;
272;Vilhelmina 114;Vilhelmina;7204798;517965;2520;2;;;;Point preform;Preform;;"IMG_9973;IMG_9974";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;No;Bands of quartz;10;;No;17;41;8;5;697;Medium;
273;Vilhelmina 552;Vilhelmina;7194832;583937;13721;14;;;;Point preform;Preform;;"IMG_9975;IMG_9976";Quartzite;Light gray;7.5Y; 7/1;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;28;68;8;14;1904;Medium;
274;;Vilhelmina;548201;7201665;13735;3;;;;Point preform;Preform;;"IMG_9978;IMG_9979";Quartzite;Gray;1Y; 3/1;Granular;Medium-grained;Bright vitreous;None;None;No;Bands of quartz;;;Yes;39;84;21;55;3276;Large;TRUE
275;Vilhelmina 948;Vilhelmina;7197896;578653;13733;8;;;;Arrow point;Point;Spetsoval;"IMG_9980;IMG_9981";Breccie quartz;Opaque;5Y; 8/2;Massive;Fine-grained;Waxy;None;Possible foliation;No;Dark mineral grains;;;No;15;77;7;;1155;Medium;
276;Vilhelmina 552;Vilhelmina;7194832;583937;13721;25;;;;Point preform;Preform;;"IMG_9982;IMG_9983";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;24;113;13;32;2712;Large;
277;Vilhelmina 181;Vilhelmina;7195514;581852;13734;19;;;;Arrow point;Point;Spetsoval;"IMG_9984;IMG_9985";Quartzite;Black;N1; ;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;;No;18;90;6;;1620;Medium;
278;Vilhelmina 118;Vilhelmina;7204670;519129;9492;3;;;;Spear point preform;Preform;;"IMG_9986;IMG_9987";Quartzite;Gray streaked with black;5Y; 4/2;Granular;Medium-grained;Bright vitreous;None;None;No;Dark mineral inclusion;5;;No;31;104;14;42;3224;Large;
