sample_id;site_id;sweref_x;sweref_y;parish;color;hue;munsell_hue;munsell_value;material;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_cm;weight_g;area_mm2;sample_size;river
329;Vilhelmina 977;7208869;567544;Vilhelmina;Black;Dark;N2; ;Quartzite;Point preform;Preform;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;13;20;4;;260;Small;Vojmån
330;Vilhelmina 977;7208869;567544;Vilhelmina;Black;Dark;N2; ;Quartzite;Arrow point;Point;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;17;25;5;2;425;Small;Vojmån
331;Vilhelmina 977;7208869;567544;Vilhelmina;Gray streaked with black;Dark;5Y; 4/1;Quartzite;Arrow point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Conchoidal;No;Dark mineral inclusion;18;69;7;8;1242;Medium;Vojmån
332;Vilhelmina 977;7208869;567544;Vilhelmina;Gray streaked with black;Dark;5Y; 4/1;Quartzite;Arrow point;Point;Excavation;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Dark mineral inclusion;12;37;6;3;444;Small;Ångermanälven
333;Vilhelmina 977;7208869;567544;Vilhelmina;Black;Dark;N1; ;Quartzite;Arrow point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;16;50;5;5;800;Medium;Vojmån
334;Vilhelmina 977;7208869;567544;Vilhelmina;White;White;N9; ;Quartzite;Arrow point preform;Preform;Excavation;No;Granular;Fine-grained;Dull;None;None;Fine;No;White discoloration;19;29;4;3;551;Small;Vojmån
335;Vilhelmina 977;7208869;567544;Vilhelmina;Black;Dark;N1; ;Quartzite;Arrow point preform;Preform;Excavation;No;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;14;18;5;2;252;Small;Ångermanälven
336;Vilhelmina 977;7208869;567544;Vilhelmina;White;White;N9; ;Quartzite;Arrow point;Point;Excavation;No;Granular;Fine-grained;Dull;None;None;Fine;Yes;;16;15;5;2;240;Small;Ångermanälven
337;Vilhelmina 977;7208869;567544;Vilhelmina;Gray;Dark;N3; ;Quartzite;Arrow point;Point;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;15;17;5;;255;Small;Ångermanälven
338;;7172386;663884;Lycksele;Gray;Dark;N2; ;Quartzite;Point preform;Preform;Survey;Yes;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;43;106;9;49;4558;Large;Umeälven
339;Lycksele 335;7166887;677056;Lycksele;White;White;N9; ;Quartzite;Point preform;Preform;Surveyed;No;Granular;Fine-grained;Bright vitreous;None;None;Irregular;Yes;;25;63;;;1575;Medium;Umeälven
340;;7172386;663884;Lycksele;Black;Dark;N1; ;Slate;Point;Point;Survey;No;Massive;Fine-grained;Dull;None;Foliated;Smooth;Yes;;14;32;3;2;448;Small;Umeälven
341;Lycksele 335;7166887;677056;Lycksele;Opaque;Light;2.5Y; 9/1;Quartzite;Point preform;Preform;Surveyed;Yes;Granular;Fine-grained;Bright vitreous;None;Foliated;Conchoidal;Yes;;19;50;;;950;Medium;Umeälven
342;Lycksele 301;7168150;676423;Lycksele;Red;Dark;5YR; 2/2;Sandstone;Point;Point;Excavation;No;Granular;Fine-grained;Dull;None;None;Smooth;Yes;;18;44;;;792;Medium;Umeälven
343;;7172386;663884;Lycksele;Black;Dark;N1; ;Quartzite;Preform;Preform;Unknown;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;30;70;;;2100;Large;Umeälven
344;Dorotea 120;7166752;521538;Dorotea;Black;Dark;N1; ;Quartzite;Point preform;Preform;Surveyed;Yes;Massive;Fine-grained;Waxy;None;None;Conchoidal;Yes;;29;50;11;16;1450;Medium;Fjällsjöälven
345;Dorotea 362;7136378;553170;Dorotea;Gray;Dark;5Y; 4/1;Quartzite;Point;Point;Surveyed;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;No;Dark mineral;17;45;7;6;765;Medium;Fjällsjöälven
346;Dorotea 11;7138996;553157;Dorotea;Black;Dark;N2; ;Quartzite;Point preform;Preform;Surveyed;Yes;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;28;83;20;36;2324;Large;Fjällsjöälven
347;Dorotea 632;7138562;556961;Dorotea;Light gray streaked with black;Light;5Y; 7/1;Quartzite;Point;Point;Surveyed;No;Massive;Fine-grained;Dull;None;None;Fine;No;Bands of dark mineral;18;51;5;4;918;Medium;Fjällsjöälven
348;Dorotea 159:1;7144507;546226;Dorotea;Gray streaked with black;Dark;5Y; 3/1;Quartzite;Point preform;Preform;Surveyed;Yes;Granular;Fine-grained;Dull;None;None;Conchoidal;No;Bands of dark mineral;30;58;;;1740;Medium;Fjällsjöälven
349;Dorotea 159:1;7144507;546226;Dorotea;Gray streaked with black;Dark;7.5Y; 4/1;Quartzite;Point preform;Preform;Surveyed;No;Granular;Fine-grained;Dull;None;None;Fine;No;Bands of dark mineral;30;41;;;1230;Medium;Fjällsjöälven
350;Dorotea 159:1;7144507;546226;Dorotea;Gray streaked with black;Dark;N2; ;Quartzite;Point preform;Preform;Surveyed;No;Granular;Fine-grained;Dull;None;None;Fine;No;Bands of dark mineral;25;69;;;1725;Medium;Fjällsjöälven
